Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
13/10/2024,1,"Vildoza, L.",25.77,6,0,0,0.0,0,0,0.0,2,2,100.0,1,4,5,2,0,1,2,2,3,1
13/10/2024,2,"Aaliya, L.",18.09,9,1,1,100.0,4,5,80.0,0,2,0.0,2,2,4,0,0,1,0,1,2,3
13/10/2024,3,"Moussa, F.",13.29,5,2,4,50.0,0,0,0.0,1,1,100.0,1,1,2,0,0,3,1,0,4,2
13/10/2024,4,"Negrete, A.",21.53,7,3,4,75.0,2,4,50.0,0,1,0.0,9,1,10,2,0,0,0,1,2,2
13/10/2024,5,"Guerrero, J.",1.62,1,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
13/10/2024,6,"Copello, N.",21.65,7,1,2,50.0,3,3,100.0,0,6,0.0,0,4,4,1,0,0,0,1,2,1
13/10/2024,9,"Lugarini, B.",26.89,2,0,0,0.0,1,2,50.0,0,2,0.0,1,8,9,1,0,1,0,3,2,2
13/10/2024,10,"Pomoli, N.",25.18,21,5,6,83.33333333333334,5,10,50.0,2,4,50.0,4,7,11,1,1,2,2,0,2,6
13/10/2024,13,"Monacchi, T.",20.33,5,0,0,0.0,1,1,100.0,1,1,100.0,0,3,3,0,0,1,0,3,1,0
13/10/2024,14,"Saiz, J.",23.29,13,1,3,33.33333333333333,6,10,60.0,0,0,0.0,3,4,7,2,1,3,0,2,2,2
13/10/2024,19,"Ferri, V.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
13/10/2024,20,"Barros, A.",1.15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
13/10/2024,35,"Acuña, R.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
