Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
21/10/2024,1,"Vildoza, L.",29.5,5,0,0,0.0,1,1,100.0,1,3,33.33333333333333,0,0,0,7,0,0,2,0,2,1
21/10/2024,2,"Aaliya, L.",14.66,10,0,2,0.0,2,4,50.0,2,3,66.66666666666666,1,0,1,0,0,0,0,0,3,2
21/10/2024,3,"Moussa, F.",5.49,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0
21/10/2024,4,"Negrete, A.",24.08,13,1,1,100.0,3,4,75.0,2,5,40.0,0,5,5,1,0,2,1,3,3,1
21/10/2024,5,"Guerrero, J.",1.31,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
21/10/2024,6,"Copello, N.",18.9,4,1,2,50.0,0,1,0.0,1,3,33.33333333333333,0,0,0,2,0,0,0,0,2,2
21/10/2024,9,"Lugarini, B.",27.81,18,0,0,0.0,6,6,100.0,2,2,100.0,1,0,1,2,0,0,0,3,1,0
21/10/2024,10,"Pomoli, N.",25.02,10,1,4,25.0,3,4,75.0,1,3,33.33333333333333,2,8,10,7,1,1,0,1,4,4
21/10/2024,13,"Monacchi, T.",17.58,1,1,1,100.0,0,0,0.0,0,2,0.0,0,6,6,1,0,0,0,1,4,0
21/10/2024,14,"Saiz, J.",18.5,14,2,4,50.0,6,7,85.71428571428571,0,0,0.0,1,3,4,0,1,0,1,1,1,3
21/10/2024,20,"Barros, A.",1.31,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
21/10/2024,35,"Acuña, R.",15.84,9,1,2,50.0,4,6,66.66666666666666,0,3,0.0,0,1,1,1,0,0,1,0,3,2
