Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
11/10/2024,1,"Vildoza, L.",29.77,8,0,0,0.0,1,1,100.0,2,7,28.57142857142857,1,3,4,7,0,1,2,0,3,4
11/10/2024,2,"Aaliya, L.",14.01,2,0,0,0.0,1,2,50.0,0,2,0.0,1,1,2,1,0,0,9,0,1,0
11/10/2024,3,"Moussa, F.",9.62,3,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,9,0,2,0
11/10/2024,4,"Negrete, A.",27.03,11,1,1,100.0,5,9,55.55555555555556,0,2,0.0,1,3,4,1,0,0,9,1,1,1
11/10/2024,5,"Guerrero, J.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,9,0,0,0
11/10/2024,6,"Copello, N.",27.35,15,2,2,100.0,2,2,100.0,3,7,42.857142857142854,0,1,1,3,0,0,2,4,5,3
11/10/2024,9,"Lugarini, B.",22.74,8,0,0,0.0,1,2,50.0,2,5,40.0,1,3,4,1,0,1,1,1,0,3
11/10/2024,10,"Pomoli, N.",13.14,12,4,6,66.66666666666666,4,7,57.14285714285714,0,2,0.0,0,2,2,1,0,0,1,2,2,4
11/10/2024,13,"Monacchi, T.",24.95,9,0,1,0.0,3,3,100.0,1,4,25.0,0,0,0,2,0,0,1,0,2,5
11/10/2024,14,"Saiz, J.",19.87,5,1,2,50.0,2,4,50.0,0,1,0.0,2,7,9,0,0,0,2,0,0,5
11/10/2024,19,"Ferri, V.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
11/10/2024,20,"Barros, A.",0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
11/10/2024,35,"Acuña, R.",11.57,4,0,0,0.0,2,2,100.0,0,3,0.0,1,3,4,0,0,0,0,0,1,0
