Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
08/10/2024,1,"Vildoza, L.",25.62,12.0,0,0,0.0,3.0,4,75.0,2,3,66.66666666666666,0,3,3,4,0,0,4,1,2,1
08/10/2024,2,"Aaliya, L.",0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
08/10/2024,3,"Moussa, F.",14.79,8.0,0,0,0.0,1.0,1,100.0,2,3,66.66666666666666,0,0,0,1,0,0,1,1,4,1
08/10/2024,4,"Negrete, A.",24.31,15.0,0,2,0.0,3.0,6,50.0,3,5,60.0,1,7,8,4,0,0,1,1,2,3
08/10/2024,5,"Guerrero, J.",2.52,4.0,2,2,100.0,1.0,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
08/10/2024,6,"Copello, N.",18.55,9.0,0,2,0.0,0.0,0,0.0,3,6,50.0,0,1,1,2,0,0,0,0,1,1
08/10/2024,9,"Lugarini, B.",22.4,16.0,3,4,75.0,2.0,2,100.0,3,6,50.0,0,3,3,3,1,0,1,3,1,3
08/10/2024,10,"Pomoli, N.",21.54,14.0,0,0,0.0,7.0,7,100.0,0,3,0.0,1,1,2,2,0,0,2,1,4,2
08/10/2024,13,"Monacchi, T.",24.1,7.0,0,0,0.0,2.0,3,66.66666666666666,1,4,25.0,2,3,5,1,1,1,1,2,1,0
08/10/2024,14,"Saiz, J.",23.38,7.0,1,2,50.0,3.0,4,75.0,0,1,0.0,0,3,3,3,0,1,2,0,2,1
08/10/2024,19,"Ferri, V.",2.52,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
08/10/2024,20,"Barros, A.",2.52,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
08/10/2024,35,"Acuña, R.",17.74,7.0,3,4,75.0,2.0,3,66.66666666666666,0,0,0.0,1,3,4,0,0,0,1,2,4,2
