Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
12/11/2024,2,"ARAUJO, M.",00:01:42,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12/11/2024,4,"BUENDIA, C.",00:25:34,13,2,5,40,1,2,50,3,6,50,0,3,3,2,0,0,3,1,3,4
12/11/2024,8,"ZURSCHMITTEN, N.",00:25:00,8,1,2,50,2,4,50,1,2,50,0,3,3,6,0,0,0,4,1,2
12/11/2024,10,"MONTERO, J.",00:21:12,6,0,0,0,0,1,0,2,5,40,1,5,6,4,0,0,2,0,3,0
12/11/2024,13,"ARN BUSTAMANTE, L.",00:25:36,17,1,2,50,2,4,50,4,8,50,1,2,3,1,0,0,0,0,2,2
12/11/2024,14,"VICENS, A.",00:12:47,2,0,0,0,1,5,20,0,0,0,1,2,3,0,0,0,2,0,0,3
12/11/2024,20,"LEMA, L.",00:27:32,18,6,12,50,3,6,50,2,2,100,2,5,7,1,0,0,1,1,4,7
12/11/2024,22,"MAIDANA, J.",00:02:11,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12/11/2024,32,"BUEMO, C.",00:25:05,8,1,1,100,2,4,50,1,4,25,0,3,3,4,0,0,1,1,2,0
12/11/2024,33,"WATSON, E.",00:06:38,2,0,0,0,1,2,50,0,0,0,0,1,1,0,0,0,0,0,2,0
12/11/2024,55,"TOMATIS, T.",00:00:51,2,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,77,"OBERTO, J.",00:25:53,21,5,6,83,8,10,80,0,0,0,2,5,7,0,0,0,0,0,4,4
