Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
27/10/2024,1,"MOUSQUERE, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2024,4,"AZPILICUETA, A.",00:11:08,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,2,0
27/10/2024,5,"TORRESI, J.",00:22:52,9,1,2,50,4,6,66,0,0,0,1,2,3,2,0,0,0,2,0,2
27/10/2024,6,"QUIROGA, N.",00:17:27,8,2,2,100,3,3,100,0,3,0,1,1,2,1,0,0,0,0,2,1
27/10/2024,8,"LATERZA, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2024,9,"CONRRADI, F.",00:33:09,16,5,6,83,4,6,66,1,3,33,0,9,9,5,0,0,2,0,4,4
27/10/2024,10,"RAMIREZ, K.",00:14:25,9,3,3,100,3,4,75,0,1,0,1,4,5,0,0,0,0,1,2,4
27/10/2024,11,"BROCAL, A.",00:35:35,26,1,1,100,2,5,40,7,11,63,1,1,2,1,0,0,1,2,2,2
27/10/2024,13,"ASCANIO, J.",00:09:43,5,0,0,0,1,1,100,1,1,100,0,1,1,2,0,0,0,0,4,3
27/10/2024,14,"ACEVEDO, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2024,19,"BARREIRO, A.",00:30:58,11,2,4,50,3,7,42,1,5,20,2,5,7,2,0,0,0,3,3,3
27/10/2024,41,"VORHEES, W.",00:24:43,19,2,2,100,7,8,87,1,2,50,0,3,3,1,0,0,1,0,5,3
