Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
14/11/2024,0,"IANGUAS, P.",00:23:53,4,0,0,0,2,3,66,0,0,0,1,5,6,2,2,0,0,0,3,2
14/11/2024,1,"BOND, T.",00:27:18,20,6,6,100,7,10,70,0,3,0,2,7,9,1,1,1,1,3,4,5
14/11/2024,2,"THYGESEN, F.",00:07:15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
14/11/2024,4,"NOBLEGA, J.",00:11:06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0
14/11/2024,8,"BARRALES, S.",00:30:58,8,0,0,0,4,4,100,0,1,0,1,3,4,1,0,0,0,1,3,1
14/11/2024,10,"GOICOECHEA, M.",00:02:38,2,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,1,1,0,0
14/11/2024,11,"MORALES, J.",00:23:23,3,0,0,0,0,0,0,1,2,50,0,4,4,2,0,0,1,0,3,0
14/11/2024,14,"BANYARD, N.",00:14:46,8,2,2,100,3,5,60,0,0,0,0,6,6,0,0,1,0,3,2,1
14/11/2024,21,"MAZZUCCHELLI, S.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2024,22,"VAZQUEZ, F.",00:27:59,21,1,2,50,1,2,50,6,8,75,0,8,8,2,0,0,2,3,2,4
14/11/2024,23,"FLOR, E.",00:29:22,9,0,0,0,3,7,42,1,6,16,1,3,4,1,2,0,2,2,1,2
14/11/2024,99,"MATA, H.",00:01:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
