Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
29/10/2024,3,"CAPELLI, S.",00:01:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29/10/2024,4,"FRONTERA, R.",00:29:40,20,0,0,0,7,10,70,2,3,66,1,3,4,3,0,0,1,4,2,2
29/10/2024,6,"DI PRINZIO, P.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/10/2024,8,"ALLENDE, T.",00:26:06,13,1,7,14,6,7,85,0,2,0,1,0,1,0,2,0,1,1,0,5
29/10/2024,9,"DUPUY, E.",00:25:01,17,5,5,100,3,5,60,2,10,20,1,4,5,3,0,1,4,2,4,3
29/10/2024,11,"ROMERO, G.",00:26:45,3,1,2,50,1,1,100,0,0,0,0,3,3,1,0,0,0,0,2,2
29/10/2024,13,"TORNE, E.",00:15:59,3,1,2,50,1,3,33,0,0,0,2,2,4,2,0,1,0,0,1,1
29/10/2024,14,"DOMINICI, L.",00:00:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/10/2024,15,"SLIDER, J.",00:26:45,0,0,0,0,0,0,0,0,3,0,0,6,6,3,0,0,1,1,2,1
29/10/2024,17,"GENNERO, A.",00:05:26,5,0,0,0,1,2,50,1,1,100,0,0,0,0,0,0,0,0,1,0
29/10/2024,19,"PODESTA, F.",00:31:24,12,0,0,0,6,12,50,0,3,0,1,3,4,2,0,0,0,1,1,2
29/10/2024,55,"GOMEZ, M.",00:10:48,2,0,2,0,1,1,100,0,1,0,0,0,0,4,0,0,0,2,0,3
