Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
15/10/2024,1,"BELL, R.",00:22:55,10,5,5,100,1,5,20,1,5,20,0,2,2,0,0,0,2,1,4,5
15/10/2024,3,"GUERRA, Y.",00:03:54,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0
15/10/2024,7,"KONSZTADT, A.",00:30:08,16,7,10,70,3,3,100,1,4,25,0,4,4,2,0,0,2,2,4,6
15/10/2024,8,"CABOT, M.",00:28:16,8,0,0,0,1,2,50,2,6,33,0,2,2,0,1,0,0,2,2,0
15/10/2024,9,"BOMBINO, P.",00:17:12,11,3,4,75,4,4,100,0,0,0,2,5,7,0,0,0,1,1,2,3
15/10/2024,10,"ALESSIO, J.",00:21:18,14,2,5,40,6,9,66,0,0,0,2,2,4,0,0,0,1,0,2,4
15/10/2024,11,"GONZALEZ, U.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/10/2024,13,"HURE, D.",00:12:44,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,1,0
15/10/2024,16,"BORSATTI, M.",00:04:56,2,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0
15/10/2024,22,"CHAMORRO, F.",00:02:18,2,2,2,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15/10/2024,30,"COSOLITO, M.",00:27:27,0,0,0,0,0,2,0,0,4,0,0,7,7,4,0,0,0,0,4,1
15/10/2024,85,"MITCHELL, T.",00:28:50,14,3,7,42,1,5,20,3,5,60,0,2,2,2,2,1,0,3,3,4
