Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
10/11/2024,3,"FERGUSON, R.",00:34:57,15,4,6,66,4,7,57,1,5,20,0,4,4,1,0,0,2,1,2,5
10/11/2024,5,"ALONSO, G.",00:18:46,3,0,0,0,0,1,0,1,6,16,1,1,2,1,0,0,0,2,2,0
10/11/2024,6,"RODRIGUEZ, M.",00:20:03,4,2,2,100,1,5,20,0,0,0,1,5,6,1,0,0,5,4,4,1
10/11/2024,7,"RATTERO, R.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2024,9,"MORESCO, A.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2024,10,"HARINA, F.",00:34:30,5,0,0,0,1,4,25,1,6,16,1,2,3,1,0,0,3,2,1,4
10/11/2024,12,"FRANCO, N.",00:08:32,5,1,2,50,2,3,66,0,0,0,1,1,2,0,0,0,0,1,0,1
10/11/2024,13,"SANCHEZ, R.",00:23:47,11,1,2,50,5,8,62,0,1,0,1,2,3,1,0,0,1,2,2,3
10/11/2024,14,"GENITTI, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2024,22,"SANDRINI, J.",00:31:56,11,1,1,100,2,3,66,2,5,40,1,1,2,0,0,0,3,0,5,0
10/11/2024,33,"OWENS, D.",00:27:28,24,4,5,80,10,14,71,0,0,0,4,6,10,1,0,0,2,2,2,6
10/11/2024,44,"PEREZ, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
