Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
12/11/2024,1,"CECI, M.",00:00:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,5,"DIGGS, A.",00:12:40,2,0,0,0,1,3,33,0,0,0,0,2,2,1,0,0,0,3,2,0
12/11/2024,6,"APREA, J.",00:27:20,8,1,2,50,2,4,50,1,1,100,0,2,2,2,1,0,0,3,1,2
12/11/2024,7,"CAPPONI, F.",00:21:50,15,6,6,100,0,0,0,3,5,60,0,2,2,0,0,0,0,1,4,3
12/11/2024,9,"MERCHANT, E.",00:31:37,12,6,11,54,3,6,50,0,2,0,2,8,10,1,1,1,0,1,2,8
12/11/2024,11,"GOMEZ, C.",00:24:50,16,0,2,0,2,4,50,4,5,80,0,5,5,2,0,1,0,0,3,1
12/11/2024,13,"MAGGI, A.",00:09:43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0
12/11/2024,15,"SAFAR, S.",00:26:29,7,2,2,100,1,2,50,1,3,33,0,7,7,2,0,0,1,2,3,3
12/11/2024,22,"FRAGA, L.",00:25:15,12,4,4,100,1,1,100,2,4,50,0,4,4,2,0,1,0,2,2,4
12/11/2024,24,"RUIZ, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,26,"DEL DO , F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,33,"PIÑERO, P.",00:19:55,4,1,2,50,0,3,0,1,2,50,0,1,1,0,0,0,2,0,3,2
