Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
3/11/2024,0,"BANEGAS, J.",00:24:01,8,2,4,50,0,1,0,2,5,40,0,1,1,1,0,0,0,1,3,3
3/11/2024,1,"GARGALLO, L.",00:32:42,10,2,2,100,1,3,33,2,4,50,0,0,0,4,0,0,0,0,1,3
3/11/2024,2,"PAYTON, E.",00:22:27,8,0,0,0,1,3,33,2,3,66,1,0,1,0,0,1,0,1,1,1
3/11/2024,3,"BOTTA, T.",00:23:24,15,1,2,50,4,7,57,2,5,40,0,3,3,1,0,0,1,3,2,3
3/11/2024,5,"GARCIA, G.",00:21:54,10,3,4,75,2,2,100,1,7,14,1,4,5,2,0,0,4,1,1,6
3/11/2024,6,"ACEVEDO, S.",00:21:48,2,0,0,0,1,1,100,0,3,0,0,2,2,0,0,1,0,0,3,2
3/11/2024,7,"REARTE, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,8,"RAMALLO, G.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,12,"MENDEZ, F.",00:18:31,6,0,0,0,0,1,0,2,7,28,0,3,3,2,0,0,2,0,2,1
3/11/2024,20,"LEDESMA, R.",00:25:01,7,0,0,0,2,3,66,1,3,33,0,4,4,1,0,0,1,0,2,0
3/11/2024,22,"CARABALI, B.",00:10:11,3,3,4,75,0,0,0,0,1,0,1,4,5,0,0,0,0,1,4,2
3/11/2024,24,"BENAY, L.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
