Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
7/11/2024,2,"ARAUJO, M.",00:04:50,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7/11/2024,4,"BUENDIA, C.",00:24:47,10,3,3,100,2,3,66,1,3,33,1,1,2,1,0,0,1,0,4,3
7/11/2024,8,"ZURSCHMITTEN, N.",00:21:30,9,0,0,0,3,4,75,1,2,50,0,0,0,2,0,0,2,4,3,2
7/11/2024,10,"MONTERO, J.",00:24:33,9,0,0,0,0,0,0,3,8,37,0,5,5,2,0,0,0,3,3,0
7/11/2024,13,"ARN BUSTAMANTE, L.",00:30:47,5,1,2,50,2,2,100,0,5,0,0,4,4,9,0,0,1,1,1,4
7/11/2024,14,"VICENS, A.",00:07:41,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
7/11/2024,20,"LEMA, L.",00:24:12,14,5,9,55,3,5,60,1,3,33,3,7,10,0,0,0,0,4,3,7
7/11/2024,22,"MAIDANA, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2024,32,"BUEMO, C.",00:22:38,12,2,2,100,2,3,66,2,3,66,0,3,3,0,0,0,1,1,1,3
7/11/2024,33,"WATSON, E.",00:07:27,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,0,0,0
7/11/2024,55,"TOMATIS, T.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2024,77,"OBERTO, J.",00:31:35,14,0,0,0,7,10,70,0,1,0,0,7,7,0,0,0,1,0,3,1
