Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
18/10/2024,4,"LEZCANO, E.",00:26:12,14,8,8,100,3,5,60,0,2,0,0,2,2,4,0,0,3,0,4,6
18/10/2024,5,"LADO, M.",00:15:45,6,1,2,50,1,2,50,1,1,100,1,1,2,0,0,0,0,1,3,2
18/10/2024,6,"MARTINEZ, J.",00:15:17,6,0,0,0,0,1,0,2,3,66,0,0,0,2,0,0,2,1,2,1
18/10/2024,7,"ROVERES, A.",00:16:10,2,0,0,0,1,1,100,0,2,0,0,2,2,0,0,0,0,1,2,0
18/10/2024,9,"RODRIGUEZ, F.",00:30:15,6,1,2,50,1,3,33,1,5,20,1,7,8,2,0,1,2,0,4,2
18/10/2024,10,"WOLINSKY, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2024,12,"GALLEGOS, R.",00:27:36,9,0,0,0,0,2,0,3,7,42,1,3,4,7,0,0,2,1,1,1
18/10/2024,13,"RODRIGUEZ, C.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2024,14,"DIEZ, A.",00:22:53,19,1,2,50,6,11,54,2,4,50,1,1,2,0,0,0,1,2,3,4
18/10/2024,19,"RYZWANIUK, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2024,21,"SPANO, T.",00:26:13,13,5,6,83,1,5,20,2,2,100,0,5,5,3,0,1,1,1,2,4
18/10/2024,93,"FIERRO, M.",00:19:39,10,2,4,50,4,6,66,0,2,0,3,2,5,1,0,0,1,1,2,2
