Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
14/10/2024,0,"FRANCA, J.",00:26:31,24,8,15,53,8,14,57,0,1,0,3,2,5,0,1,0,0,1,3,14
14/10/2024,1,"WALTON, Z.",00:24:47,0,0,0,0,0,0,0,0,2,0,1,9,10,2,0,0,0,1,2,1
14/10/2024,5,"LOCKETT, P.",00:13:11,2,0,0,0,1,3,33,0,1,0,4,2,6,0,0,0,0,0,0,1
14/10/2024,6,"TUNDIS, L.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2024,9,"FACELLO, A.",00:22:00,5,0,0,0,1,1,100,1,5,20,0,1,1,1,0,0,1,1,4,0
14/10/2024,10,"ALIENDE, G.",00:31:03,17,1,1,100,2,3,66,4,7,57,0,2,2,3,0,0,2,2,4,2
14/10/2024,11,"PEREZ, S.",00:00:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
14/10/2024,12,"MORALES, J.",00:37:22,17,5,6,83,3,5,60,2,8,25,0,4,4,3,0,1,1,2,1,4
14/10/2024,13,"MARTINEZ, C.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2024,14,"MORALES, A.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2024,22,"DEFELIPPO, J.",00:34:12,20,4,8,50,2,4,50,4,7,57,3,6,9,6,0,0,1,3,1,5
14/10/2024,33,"SHRIVER, D.",00:10:04,4,4,4,100,0,0,0,0,4,0,2,0,2,1,0,0,0,0,5,2
