Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
22/10/2024,0,"IANGUAS, P.",00:24:31,13,3,4,75,5,8,62,0,0,0,3,2,5,1,0,0,0,1,4,3
22/10/2024,1,"BOND, T.",00:30:09,12,2,4,50,2,10,20,2,3,66,0,4,4,2,0,0,1,1,5,3
22/10/2024,2,"THYGESEN, F.",00:26:52,3,0,0,0,0,0,0,1,2,50,0,1,1,2,0,0,0,0,3,0
22/10/2024,4,"NOBLEGA, J.",00:07:49,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1
22/10/2024,7,"JARA, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2024,8,"BARRALES, S.",00:34:06,13,2,2,100,1,2,50,3,3,100,0,2,2,1,0,0,1,0,3,2
22/10/2024,9,"GONCALVES, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2024,10,"GOICOECHEA, M.",00:01:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2024,11,"MORALES, J.",00:15:42,3,0,0,0,0,1,0,1,2,50,1,1,2,1,0,0,0,1,5,0
22/10/2024,14,"BANYARD, N.",00:23:26,17,5,7,71,6,8,75,0,2,0,1,7,8,1,0,0,0,1,3,5
22/10/2024,21,"MAZZUCCHELLI, S.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2024,23,"FLOR, E.",00:36:00,35,10,11,90,2,2,100,7,12,58,0,2,2,5,0,1,0,3,3,5
