Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
16/10/2024,2,"NAYLOR, C.",00:32:14,2,2,2,100,0,7,0,0,1,0,1,4,5,1,1,0,3,2,1,2
16/10/2024,3,"CAPELLI, S.",00:04:32,2,0,0,0,1,1,100,0,1,0,0,1,1,0,0,0,0,0,0,0
16/10/2024,4,"FRONTERA, R.",00:06:02,1,1,2,50,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2
16/10/2024,5,"CAPORALETTI, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/10/2024,8,"ALLENDE, T.",00:11:04,2,0,0,0,1,1,100,0,0,0,0,2,2,1,0,0,1,0,1,0
16/10/2024,9,"DUPUY, E.",00:26:57,17,1,1,100,2,3,66,4,7,57,0,3,3,1,0,0,0,1,2,2
16/10/2024,11,"ROMERO, G.",00:20:55,11,1,2,50,5,6,83,0,1,0,2,2,4,2,0,0,3,2,4,3
16/10/2024,14,"DOMINICI, L.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/10/2024,15,"SLIDER, J.",00:33:18,16,6,8,75,2,4,50,2,7,28,1,4,5,0,0,0,0,2,5,8
16/10/2024,17,"GENNERO, A.",00:01:26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/10/2024,19,"PODESTA, F.",00:30:40,16,6,8,75,5,8,62,0,5,0,2,5,7,0,0,0,0,1,3,4
16/10/2024,55,"GOMEZ, M.",00:32:51,0,0,0,0,0,2,0,0,3,0,0,5,5,2,0,0,2,3,1,1
