Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
28/10/2024,1,"MOUSQUERE, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/10/2024,4,"AZPILICUETA, A.",00:09:47,2,0,0,0,1,2,50,0,0,0,3,1,4,0,0,0,0,1,2,0
28/10/2024,5,"TORRESI, J.",00:17:12,8,0,0,0,4,4,100,0,0,0,0,0,0,1,0,0,3,0,0,0
28/10/2024,6,"QUIROGA, N.",00:07:06,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0
28/10/2024,8,"LATERZA, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/10/2024,9,"CONRRADI, F.",00:34:22,31,8,9,88,10,10,100,1,9,11,0,7,7,4,0,0,3,2,1,8
28/10/2024,10,"RAMIREZ, K.",00:04:12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
28/10/2024,11,"BROCAL, A.",00:38:12,17,2,2,100,3,4,75,3,8,37,0,4,4,2,0,0,0,2,2,6
28/10/2024,13,"ASCANIO, J.",00:39:36,10,2,2,100,1,1,100,2,6,33,0,5,5,3,0,1,2,0,3,6
28/10/2024,14,"ACEVEDO, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/10/2024,19,"BARREIRO, A.",00:35:24,11,0,0,0,4,6,66,1,8,12,2,9,11,3,0,0,2,3,0,0
28/10/2024,41,"VORHEES, W.",00:14:08,4,0,0,0,2,2,100,0,2,0,2,1,3,0,0,0,0,1,5,0
