Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
12/11/2024,0,"FRANCA, J.",00:18:36,10,2,3,66,4,9,44,0,0,0,1,4,5,0,2,2,0,0,3,3
12/11/2024,1,"WALTON, Z.",00:16:52,10,2,3,66,1,1,100,2,2,100,0,4,4,1,0,0,1,0,0,2
12/11/2024,4,"MAINOLDI, L.",00:18:06,3,0,0,0,0,0,0,1,2,50,0,1,1,0,1,0,0,1,3,0
12/11/2024,5,"LOCKETT, P.",00:21:24,6,0,1,0,3,6,50,0,0,0,2,1,3,1,3,0,2,0,3,1
12/11/2024,6,"RIVERO, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,9,"FACELLO, A.",00:15:40,5,0,0,0,1,4,25,1,2,50,0,2,2,4,0,2,0,1,0,2
12/11/2024,10,"ALIENDE, G.",00:24:20,7,0,0,0,2,3,66,1,2,50,1,3,4,2,0,0,1,1,1,1
12/11/2024,11,"PEREZ, S.",00:11:03,9,0,0,0,3,8,37,1,2,50,1,2,3,1,0,1,2,1,1,1
12/11/2024,12,"MORALES, J.",00:23:08,6,0,0,0,0,1,0,2,5,40,3,3,6,0,1,0,2,1,1,1
12/11/2024,14,"MORALES, A.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,22,"DEFELIPPO, J.",00:28:57,20,2,2,100,6,7,85,2,8,25,2,6,8,4,0,0,3,4,2,2
12/11/2024,33,"SHRIVER, D.",00:21:54,2,0,1,0,1,1,100,0,5,0,0,3,3,2,0,0,0,0,2,2
