Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
18/10/2024,2,"FERNANDEZ, J.",00:15:14,3,0,0,0,0,2,0,1,3,33,0,3,3,1,0,0,0,1,3,1
18/10/2024,3,"CORSO, M.",00:03:31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18/10/2024,7,"FORESTIER, V.",00:32:25,24,5,8,62,5,6,83,3,5,60,1,4,5,2,0,0,0,2,2,5
18/10/2024,8,"PRIDDY, N.",00:29:02,15,0,0,0,0,0,0,5,6,83,0,4,4,2,0,0,0,1,2,0
18/10/2024,9,"RODRIGUEZ, J.",00:03:56,2,2,2,100,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1
18/10/2024,10,"CORBALAN, J.",00:20:11,21,5,6,83,5,7,71,2,3,66,0,5,5,1,0,0,0,0,0,4
18/10/2024,11,"LUCHI, M.",00:22:46,6,0,2,0,3,4,75,0,0,0,2,7,9,3,0,0,0,0,1,2
18/10/2024,20,"DIAZ, F.",00:02:36,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
18/10/2024,21,"BECTON, R.",00:14:38,11,3,5,60,4,9,44,0,0,0,5,5,10,1,1,0,0,0,2,6
18/10/2024,22,"BARCO, J.",00:04:50,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0
18/10/2024,73,"CARRERAS, X.",00:24:19,4,0,0,0,2,4,50,0,4,0,0,5,5,3,1,0,2,0,4,3
18/10/2024,91,"FIGUEREDO, D.",00:26:32,13,0,0,0,2,5,40,3,4,75,0,2,2,3,0,0,1,1,1,0
