Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
7/11/2024,2,"SALOMON, N.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2024,3,"BASUALDO, I.",00:32:20,10,0,0,0,5,7,71,0,0,0,1,13,14,5,2,0,1,4,1,1
7/11/2024,5,"NESCI, V.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2024,6,"ROCA, T.",00:07:34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0
7/11/2024,8,"LATORRE, L.",00:38:14,21,0,0,0,3,4,75,5,10,50,1,6,7,2,0,0,1,4,3,3
7/11/2024,9,"VALDIVIESO, A.",00:12:19,6,0,0,0,3,3,100,0,1,0,0,3,3,3,0,0,0,1,3,2
7/11/2024,10,"ACTIS, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2024,13,"CORDOBA, G.",00:34:50,14,0,0,0,1,3,33,4,7,57,0,5,5,3,3,0,2,0,2,0
7/11/2024,16,"LUGO, S.",00:31:38,21,7,7,100,4,6,66,2,5,40,1,2,3,6,2,1,1,0,2,4
7/11/2024,17,"ALORDA, F.",00:21:37,13,5,7,71,4,8,50,0,0,0,2,2,4,0,0,3,1,3,3,4
7/11/2024,77,"GRUN, F.",00:21:28,13,3,3,100,2,5,40,2,6,33,1,2,3,4,0,0,0,3,1,5
