Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
9/11/2024,2,"COOPER, T.",00:22:39,11,2,2,100,3,7,42,1,4,25,4,5,9,2,0,0,2,1,2,3
9/11/2024,4,"STENTA, N.",00:07:22,4,0,0,0,2,2,100,0,0,0,1,0,1,0,0,0,0,0,0,1
9/11/2024,5,"GUERRERO, J.",00:13:40,2,2,2,100,0,2,0,0,1,0,1,3,4,0,0,0,0,1,1,1
9/11/2024,8,"ANDERSON, A.",00:24:59,13,0,0,0,2,7,28,3,5,60,0,7,7,1,0,2,0,2,1,0
9/11/2024,9,"TORRIANI, M.",00:01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2024,10,"PIÑERO, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2024,11,"VILDOZA, J.",00:29:51,13,0,0,0,2,5,40,3,8,37,0,4,4,4,0,0,0,0,1,2
9/11/2024,12,"DELIA, M.",00:18:16,8,0,0,0,4,9,44,0,0,0,3,3,6,1,1,0,0,2,0,0
9/11/2024,17,"VEGA, S.",00:31:02,5,2,2,100,0,0,0,1,4,25,0,8,8,1,1,0,1,3,3,1
9/11/2024,19,"IBARGUEN, A.",00:20:29,10,0,0,0,5,7,71,0,0,0,4,2,6,0,0,0,0,2,1,2
9/11/2024,28,"PROME, T.",00:01:58,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
9/11/2024,44,"CUELLO, M.",00:28:28,12,1,2,50,1,3,33,3,4,75,0,2,2,6,0,1,1,0,1,1
