Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
27/10/2024,3,"CAPELLI, S.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2024,4,"FRONTERA, R.",00:23:15,9,5,6,83,2,3,66,0,2,0,2,1,3,3,0,1,1,0,1,4
27/10/2024,5,"CAPORALETTI, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2024,8,"ALLENDE, T.",00:21:51,6,0,2,0,0,2,0,2,4,50,1,2,3,1,0,1,1,0,1,1
27/10/2024,9,"DUPUY, E.",00:34:26,12,0,1,0,3,6,50,2,9,22,0,5,5,4,0,0,0,1,3,1
27/10/2024,11,"ROMERO, G.",00:15:32,4,4,4,100,0,0,0,0,1,0,1,5,6,0,0,0,0,0,2,2
27/10/2024,13,"TORNE, E.",00:19:16,9,2,2,100,2,3,66,1,2,50,4,0,4,1,0,1,2,3,0,2
27/10/2024,14,"DOMINICI, L.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2024,15,"SLIDER, J.",00:24:44,16,7,9,77,0,3,0,3,11,27,0,2,2,4,0,0,1,1,2,8
27/10/2024,17,"GENNERO, A.",00:13:07,3,0,0,0,0,0,0,1,1,100,0,1,1,0,0,0,0,1,2,0
27/10/2024,19,"PODESTA, F.",00:27:58,15,3,4,75,3,8,37,2,4,50,1,4,5,0,0,1,2,0,2,2
27/10/2024,55,"GOMEZ, M.",00:19:51,2,2,3,66,0,0,0,0,1,0,1,1,2,3,0,0,1,2,2,1
