Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
13/11/2024,4,"JARA, C.",00:28:23,20,3,3,100,7,10,70,1,5,20,1,2,3,2,0,0,2,3,3,6
13/11/2024,5,"CABRERA, M.",00:24:55,12,5,6,83,2,5,40,1,5,20,1,2,3,3,0,0,0,0,3,7
13/11/2024,6,"MARCUCCI, N.",00:24:28,10,0,0,0,2,5,40,2,7,28,3,5,8,1,0,0,1,3,2,1
13/11/2024,7,"BARRIONUEVO, F.",00:11:39,0,0,2,0,0,1,0,0,2,0,0,1,1,1,0,0,0,4,0,1
13/11/2024,9,"GARCIA, J.",00:16:32,15,2,3,66,5,7,71,1,1,100,3,5,8,0,0,0,1,0,3,2
13/11/2024,10,"PAUTASSO, A.",00:19:40,6,0,0,0,0,2,0,2,6,33,1,1,2,0,0,0,0,1,3,0
13/11/2024,11,"CAFFARO, E.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2024,12,"NALLY, J.",00:29:51,6,4,9,44,1,3,33,0,1,0,5,6,11,3,0,0,0,1,2,5
13/11/2024,14,"ARAGON, J.",00:09:40,2,0,0,0,1,2,50,0,1,0,0,2,2,0,0,0,1,2,0,0
13/11/2024,15,"OBENG, Y.",00:10:09,3,1,2,50,1,2,50,0,0,0,0,1,1,1,0,0,0,0,3,1
13/11/2024,19,"VALLEJOS, R.",00:23:28,13,2,2,100,1,4,25,3,5,60,2,3,5,1,0,0,1,0,3,3
13/11/2024,20,"DIAZ, J.",00:01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
