Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
15/10/2024,4,"JARA, C.",00:23:25,13,4,4,100,0,2,0,3,5,60,1,3,4,0,0,0,0,1,2,2
15/10/2024,5,"CABRERA, M.",00:27:50,18,9,9,100,3,3,100,1,2,50,1,4,5,4,0,0,3,2,2,8
15/10/2024,6,"MARCUCCI, N.",00:24:52,22,1,2,50,3,5,60,5,7,71,0,1,1,3,1,1,0,1,3,3
15/10/2024,7,"BARRIONUEVO, F.",00:12:58,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,0,1,1,1
15/10/2024,9,"GARCIA, J.",00:05:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
15/10/2024,10,"PAUTASSO, A.",00:30:55,9,0,0,0,0,1,0,3,6,50,1,6,7,3,0,0,1,1,1,1
15/10/2024,11,"CAFFARO, E.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/10/2024,12,"NALLY, J.",00:13:16,2,2,2,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3
15/10/2024,15,"OBENG, Y.",00:08:58,2,2,4,50,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,2
15/10/2024,19,"VALLEJOS, R.",00:25:16,3,0,2,0,0,2,0,1,4,25,0,5,5,0,0,0,0,1,3,1
15/10/2024,20,"DIAZ, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/10/2024,27,"FILIPPETTI, E.",00:26:44,18,4,5,80,7,12,58,0,0,0,3,4,7,0,0,1,1,2,5,4
