Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
30/10/2024,2,"FERNANDEZ, J.",00:06:23,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,1,2,0
30/10/2024,3,"CORSO, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/10/2024,7,"FORESTIER, V.",00:26:42,8,0,0,0,4,4,100,0,0,0,1,2,3,5,1,0,2,3,3,2
30/10/2024,8,"PRIDDY, N.",00:26:46,14,4,4,100,2,2,100,2,7,28,0,1,1,1,0,0,2,0,1,2
30/10/2024,9,"RODRIGUEZ, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/10/2024,10,"CORBALAN, J.",00:15:51,10,2,3,66,4,5,80,0,3,0,0,0,0,1,0,0,0,0,5,2
30/10/2024,11,"LUCHI, M.",00:18:06,6,2,2,100,2,3,66,0,0,0,0,4,4,0,0,1,0,0,0,2
30/10/2024,12,"AGUERRE, F.",00:28:42,9,0,0,0,0,0,0,3,4,75,0,2,2,1,0,0,1,3,1,0
30/10/2024,21,"BECTON, R.",00:23:14,8,6,8,75,1,4,25,0,0,0,2,5,7,0,0,1,1,0,4,6
30/10/2024,22,"BARCO, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/10/2024,73,"CARRERAS, X.",00:22:40,16,2,2,100,4,5,80,2,4,50,1,1,2,0,0,0,0,0,3,2
30/10/2024,91,"FIGUEREDO, D.",00:31:35,13,3,3,100,2,5,40,2,4,50,3,1,4,4,0,2,1,5,4,2
