Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
11/10/2024,0,"CARTER, M.",00:19:19,5,1,2,50,2,6,33,0,0,0,1,6,7,0,2,0,0,0,4,2
11/10/2024,5,"GRAMAJO, P.",00:15:58,12,1,1,100,1,1,100,3,3,100,0,1,1,1,0,0,0,0,1,2
11/10/2024,7,"AGUIRRE, G.",00:20:00,7,1,1,100,3,3,100,0,5,0,1,3,4,2,0,0,0,2,0,2
11/10/2024,9,"SANZ, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2024,10,"JAIME, A.",00:25:48,8,2,2,100,0,2,0,2,3,66,1,7,8,1,0,0,0,2,2,3
11/10/2024,11,"ELIAS, G.",00:13:39,7,0,0,0,2,2,100,1,2,50,0,2,2,0,0,0,1,2,1,2
11/10/2024,12,"GILETTO, S.",00:30:51,11,0,0,0,4,6,66,1,3,33,1,2,3,2,0,0,1,0,3,3
11/10/2024,15,"HOOPER, C.",00:20:17,2,0,0,0,1,1,100,0,0,0,0,7,7,0,0,0,1,1,2,0
11/10/2024,17,"REESE, J.",00:27:59,14,0,0,0,4,7,57,2,7,28,1,2,3,4,0,0,1,3,3,1
11/10/2024,21,"LARRAZA, J.",00:09:09,6,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,1,1,0,0
11/10/2024,22,"MARCO, B.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2024,55,"FRANCHELA, T.",00:17:00,10,4,4,100,0,1,0,2,4,50,0,1,1,2,0,0,0,1,3,2
