Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
11/11/2024,1,"MOUSQUERE, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,3,"CABALLERO, H.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,4,"AZPILICUETA, A.",00:06:09,2,0,0,0,1,1,100,0,1,0,0,0,0,1,0,0,0,1,0,0
11/11/2024,5,"TORRESI, J.",00:05:30,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,2,0,1
11/11/2024,6,"QUIROGA, N.",00:17:50,4,0,0,0,2,4,50,0,3,0,3,1,4,0,0,0,0,0,2,0
11/11/2024,9,"CONRRADI, F.",00:31:49,10,1,2,50,3,5,60,1,6,16,1,3,4,5,0,0,0,2,3,3
11/11/2024,10,"RAMIREZ, K.",00:01:34,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
11/11/2024,11,"BROCAL, A.",00:26:24,4,0,0,0,2,3,66,0,4,0,0,2,2,8,0,0,0,3,4,0
11/11/2024,13,"ASCANIO, J.",00:40:00,17,9,10,90,1,4,25,2,6,33,1,3,4,0,2,0,3,1,1,6
11/11/2024,14,"ACEVEDO, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2024,19,"BARREIRO, A.",00:33:51,28,9,9,100,5,9,55,3,8,37,7,10,17,3,1,0,1,0,2,7
11/11/2024,41,"VORHEES, W.",00:36:53,18,1,2,50,7,8,87,1,3,33,3,5,8,1,0,1,1,4,5,3
