Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
3/11/2024,2,"JENKINS, J.",00:31:51,14,4,6,66,2,5,40,2,5,40,3,4,7,3,0,0,0,0,4,4
3/11/2024,3,"CHACON, M.",00:08:56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3/11/2024,5,"DE LOS SANTOS, N.",00:31:02,12,3,5,60,3,8,37,1,1,100,0,1,1,4,0,2,2,0,3,6
3/11/2024,6,"CISNEROS, A.",00:20:32,14,3,4,75,4,6,66,1,3,33,5,1,6,0,0,0,0,1,3,2
3/11/2024,9,"DATO, M.",00:29:14,8,1,2,50,2,8,25,1,4,25,1,3,4,3,0,1,2,0,3,1
3/11/2024,10,"COPESKY, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,11,"ARAUJO, T.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,12,"TORETTA, E.",00:23:06,7,2,2,100,1,5,20,1,5,20,2,2,4,4,0,0,5,1,2,2
3/11/2024,14,"RIVERO, C.",00:16:02,6,0,0,0,3,4,75,0,0,0,0,4,4,0,0,1,1,1,4,1
3/11/2024,15,"NATION, A.",00:27:42,12,0,0,0,6,11,54,0,6,0,2,6,8,0,1,1,0,2,1,1
3/11/2024,17,"AYALA, V.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,23,"DANIELS, T.",00:11:35,3,1,2,50,1,2,50,0,0,0,1,1,2,1,0,0,0,1,4,1
