Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
1/11/2024,1,"BELL, R.",00:29:24,21,7,8,87,4,8,50,2,6,33,1,3,4,4,0,0,3,2,2,5
1/11/2024,3,"GUERRA, Y.",00:10:51,5,0,2,0,1,1,100,1,3,33,0,2,2,0,0,0,0,2,1,1
1/11/2024,7,"KONSZTADT, A.",00:26:05,10,0,0,0,2,3,66,2,5,40,1,7,8,3,0,0,0,1,2,1
1/11/2024,8,"CABOT, M.",00:17:10,3,0,0,0,0,0,0,1,5,20,0,2,2,2,0,0,2,1,3,2
1/11/2024,9,"BOMBINO, P.",00:19:02,4,0,0,0,2,2,100,0,0,0,0,5,5,0,0,0,0,3,2,1
1/11/2024,13,"HURE, D.",00:26:00,6,0,0,0,3,5,60,0,1,0,0,5,5,0,0,1,1,1,2,1
1/11/2024,16,"BORSATTI, M.",00:14:43,8,2,2,100,0,0,0,2,5,40,2,2,4,1,0,1,1,1,1,1
1/11/2024,22,"CHAMORRO, F.",00:09:48,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1
1/11/2024,30,"COSOLITO, M.",00:23:47,4,0,0,0,2,3,66,0,5,0,1,4,5,5,0,0,2,3,1,2
1/11/2024,44,"ASTULFI, S.",00:02:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/11/2024,85,"MITCHELL, T.",00:20:18,12,3,5,60,0,0,0,3,7,42,0,1,1,0,0,0,0,0,1,3
1/11/2024,89,"FABBRONI, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
