Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
12/11/2024,0,"IANGUAS, P.",00:21:53,8,0,0,0,4,6,66,0,0,0,2,4,6,0,0,0,1,0,2,0
12/11/2024,1,"BOND, T.",00:26:35,13,3,5,60,5,8,62,0,1,0,0,2,2,3,2,1,0,1,4,5
12/11/2024,2,"THYGESEN, F.",00:06:23,3,0,0,0,0,0,0,1,1,100,0,0,0,1,0,0,0,0,2,0
12/11/2024,4,"NOBLEGA, J.",00:11:11,2,0,0,0,1,1,100,0,1,0,0,0,0,1,0,0,1,0,1,1
12/11/2024,8,"BARRALES, S.",00:34:20,19,0,0,0,2,5,40,5,7,71,1,3,4,0,0,0,2,0,3,0
12/11/2024,10,"GOICOECHEA, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,11,"MORALES, J.",00:18:53,6,1,1,100,1,3,33,1,2,50,1,3,4,2,0,1,0,0,3,5
12/11/2024,14,"BANYARD, N.",00:18:27,14,8,14,57,3,8,37,0,0,0,2,5,7,0,1,1,2,0,3,7
12/11/2024,21,"MAZZUCCHELLI, S.",00:04:42,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
12/11/2024,22,"VAZQUEZ, F.",00:27:12,5,1,1,100,2,5,40,0,4,0,1,3,4,7,0,0,1,3,3,2
12/11/2024,23,"FLOR, E.",00:30:23,2,0,0,0,1,4,25,0,7,0,0,4,4,1,0,0,0,3,3,2
12/11/2024,99,"MATA, H.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
