Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
13/11/2024,2,"FERNANDEZ, J.",00:08:14,6,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,2,1
13/11/2024,3,"CORSO, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2024,7,"FORESTIER, V.",00:23:43,3,1,4,25,1,1,100,0,2,0,2,3,5,1,1,0,0,3,2,3
13/11/2024,8,"PRIDDY, N.",00:27:12,9,0,0,0,0,0,0,3,6,50,0,0,0,0,0,0,3,1,2,2
13/11/2024,9,"RODRIGUEZ, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2024,10,"CORBALAN, J.",00:19:31,6,2,2,100,2,6,33,0,2,0,0,2,2,2,0,0,0,1,1,2
13/11/2024,11,"LUCHI, M.",00:16:13,5,1,2,50,2,4,50,0,0,0,0,4,4,2,0,0,0,2,3,2
13/11/2024,12,"AGUERRE, F.",00:31:13,20,3,3,100,4,5,80,3,8,37,3,6,9,2,1,0,0,1,0,2
13/11/2024,16,"TRIGO, L.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2024,21,"BECTON, R.",00:23:32,16,4,6,66,6,13,46,0,0,0,3,7,10,4,3,0,1,0,1,6
13/11/2024,73,"CARRERAS, X.",00:18:36,2,0,0,0,1,2,50,0,2,0,0,5,5,1,0,0,0,1,3,0
13/11/2024,91,"FIGUEREDO, D.",00:31:46,23,2,2,100,3,4,75,5,13,38,1,4,5,7,0,0,1,2,3,3
