Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
3/11/2024,1,"FERRARO, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,3,"REESE, J.",00:30:32,29,2,4,50,6,8,75,5,5,100,0,3,3,1,0,0,1,3,3,3
3/11/2024,5,"GRAMAJO, P.",00:26:09,2,0,0,0,1,5,20,0,3,0,1,2,3,7,0,0,0,1,1,1
3/11/2024,7,"AGUIRRE, G.",00:31:30,9,0,0,0,3,5,60,1,4,25,1,5,6,1,0,0,0,1,4,1
3/11/2024,8,"ORTEGA, I.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,10,"JAIME, A.",00:19:09,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,1,0,3,0
3/11/2024,12,"GILETTO, S.",00:18:07,2,0,0,0,1,2,50,0,2,0,0,3,3,0,0,0,1,1,3,0
3/11/2024,15,"LARRAZA, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,21,"THOMAS, C.",00:23:32,17,5,5,100,6,10,60,0,0,0,5,9,14,2,1,0,0,3,3,7
3/11/2024,22,"MARCO, B.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2024,33,"RAMIREZ, C.",00:33:28,20,7,8,87,5,8,62,1,3,33,0,7,7,2,1,0,1,0,2,7
3/11/2024,55,"FRANCHELA, T.",00:17:34,4,0,0,0,2,4,50,0,3,0,2,0,2,0,0,0,0,1,2,0
