Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
13/10/2024,4,"JARA, C.",00:18:03,6,1,2,50,1,2,50,1,2,50,0,1,1,0,0,1,0,2,4,2
13/10/2024,5,"CABRERA, M.",00:28:51,21,8,10,80,2,3,66,3,3,100,1,1,2,2,0,0,0,3,2,9
13/10/2024,6,"MARCUCCI, N.",00:25:59,10,1,2,50,3,3,100,1,4,25,2,1,3,0,1,0,0,2,2,4
13/10/2024,7,"BARRIONUEVO, F.",00:13:28,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0,0,0,0,1,0
13/10/2024,9,"GARCIA, J.",00:04:10,2,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,1,1,0
13/10/2024,10,"PAUTASSO, A.",00:28:39,11,2,3,66,3,6,50,1,2,50,1,5,6,0,0,0,1,1,4,3
13/10/2024,11,"CAFFARO, E.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/10/2024,12,"NALLY, J.",00:07:19,4,0,1,0,2,2,100,0,0,0,0,1,1,0,0,0,0,0,3,1
13/10/2024,14,"ARAGON, J.",00:00:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/10/2024,15,"OBENG, Y.",00:13:22,2,0,0,0,1,3,33,0,0,0,0,3,3,0,0,0,0,0,2,0
13/10/2024,19,"VALLEJOS, R.",00:34:35,19,0,0,0,2,3,66,5,11,45,2,7,9,2,0,0,0,1,3,1
13/10/2024,27,"FILIPPETTI, E.",00:24:44,8,4,5,80,2,11,18,0,1,0,3,3,6,0,0,2,1,2,2,5
