Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
16/10/2024,0,"MILLER, T.",00:21:49,12,6,6,100,3,6,50,0,0,0,1,2,3,1,0,0,0,3,2,4
16/10/2024,5,"BRUSSINO, J.",00:30:44,11,1,1,100,2,3,66,2,5,40,0,4,4,7,0,0,1,1,1,6
16/10/2024,6,"TABAREZ, P.",00:15:51,18,6,6,100,0,0,0,4,4,100,0,2,2,0,1,0,2,2,3,4
16/10/2024,10,"ROLFI, F.",00:13:01,4,2,2,100,1,2,50,0,0,0,0,2,2,6,0,0,0,0,4,1
16/10/2024,17,"BASABE, E.",00:14:55,5,0,0,0,1,2,50,1,2,50,0,2,2,2,0,0,2,1,3,1
16/10/2024,18,"PEREZ, A.",00:27:52,12,4,5,80,4,5,80,0,4,0,0,2,2,3,1,0,0,2,3,3
16/10/2024,19,"SANSIMONI, B.",00:05:27,3,0,0,0,0,0,0,1,1,100,1,2,3,1,0,0,0,0,0,1
16/10/2024,20,"PIKALUK, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/10/2024,32,"VASIRANI, E.",00:17:46,12,2,3,66,5,7,71,0,0,0,2,3,5,0,0,0,0,0,0,2
16/10/2024,33,"ROMANO, N.",00:23:34,16,5,5,100,4,11,36,1,4,25,1,6,7,1,0,0,1,2,1,3
16/10/2024,34,"LOUIS, A.",00:16:26,5,2,2,100,0,1,0,1,2,50,1,7,8,2,1,0,0,2,2,1
16/10/2024,80,"ZEZULAR, F.",00:12:34,5,0,0,0,1,3,33,1,1,100,1,0,1,0,0,0,0,0,2,0
