Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
22/10/2024,1,"PAZ , E.",00:17:57,5,1,2,50,2,2,100,0,1,0,2,1,3,1,0,0,2,1,5,1
22/10/2024,2,"JENKINS, J.",00:22:36,11,0,0,0,4,5,80,1,5,20,0,4,4,3,0,0,1,2,0,2
22/10/2024,3,"CHACON, M.",00:16:48,4,0,0,0,2,3,66,0,2,0,0,0,0,0,0,0,1,0,5,0
22/10/2024,5,"DE LOS SANTOS, N.",00:16:58,2,0,0,0,1,2,50,0,0,0,1,3,4,0,0,0,0,3,1,1
22/10/2024,6,"CISNEROS, A.",00:11:53,2,0,0,0,1,4,25,0,4,0,0,1,1,0,0,0,0,1,1,0
22/10/2024,9,"DATO, M.",00:10:25,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
22/10/2024,10,"COPESKY, J.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2024,12,"TORETTA, E.",00:27:23,13,0,0,0,2,2,100,3,8,37,2,5,7,4,0,0,5,1,1,0
22/10/2024,14,"RIVERO, C.",00:21:36,8,0,0,0,4,6,66,0,0,0,3,4,7,0,0,1,0,1,4,1
22/10/2024,15,"NATION, A.",00:29:49,21,7,9,77,7,11,63,0,7,0,1,4,5,3,3,3,2,4,1,5
22/10/2024,17,"AYALA, V.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2024,23,"DANIELS, T.",00:24:35,6,2,3,66,2,5,40,0,1,0,2,2,4,0,0,0,0,0,1,2
