Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
17/10/2024,4,"JARA, C.",00:20:20,4,1,2,50,0,2,0,1,5,20,0,2,2,1,0,0,1,2,3,2
17/10/2024,5,"CABRERA, M.",00:22:12,3,3,6,50,0,0,0,0,2,0,0,2,2,8,0,1,0,2,3,6
17/10/2024,6,"MARCUCCI, N.",00:31:44,13,1,2,50,6,6,100,0,6,0,0,3,3,1,0,1,1,2,3,3
17/10/2024,7,"BARRIONUEVO, F.",00:18:30,6,0,0,0,0,1,0,2,4,50,0,1,1,2,0,0,0,2,3,0
17/10/2024,9,"GARCIA, J.",00:01:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17/10/2024,10,"PAUTASSO, A.",00:25:21,7,1,2,50,0,0,0,2,6,33,1,5,6,3,1,0,1,2,3,2
17/10/2024,11,"CAFFARO, E.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/10/2024,12,"NALLY, J.",00:13:59,3,1,4,25,1,1,100,0,0,0,2,4,6,0,0,0,0,1,1,3
17/10/2024,14,"ARAGON, J.",00:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/10/2024,15,"OBENG, Y.",00:09:19,4,2,4,50,1,3,33,0,1,0,2,4,6,0,1,0,0,0,1,2
17/10/2024,19,"VALLEJOS, R.",00:30:24,20,3,5,60,4,6,66,3,10,30,0,7,7,1,0,0,1,2,1,4
17/10/2024,27,"FILIPPETTI, E.",00:26:01,12,2,2,100,5,9,55,0,0,0,3,11,14,1,0,0,5,3,2,1
