Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
13/11/2024,2,"COOPER, T.",00:21:39,11,1,2,50,2,4,50,2,2,100,0,6,6,0,0,0,1,0,1,1
13/11/2024,4,"STENTA, N.",00:09:29,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0
13/11/2024,5,"GUERRERO, J.",00:12:36,5,0,0,0,1,2,50,1,1,100,0,2,2,0,0,1,0,2,2,0
13/11/2024,8,"ANDERSON, A.",00:22:27,16,2,2,100,4,9,44,2,4,50,2,4,6,2,0,1,2,3,4,3
13/11/2024,9,"TORRIANI, M.",00:01:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2024,10,"PIÑERO, F.",00:17:06,2,0,0,0,1,1,100,0,1,0,0,0,0,2,0,1,1,1,0,2
13/11/2024,11,"VILDOZA, J.",00:27:24,14,0,0,0,1,1,100,4,5,80,0,5,5,4,0,0,1,2,1,0
13/11/2024,12,"DELIA, M.",00:17:12,9,1,3,33,4,6,66,0,0,0,1,2,3,1,0,0,0,2,0,2
13/11/2024,17,"VEGA, S.",00:28:11,8,0,0,0,4,4,100,0,2,0,0,1,1,2,1,0,2,3,3,1
13/11/2024,19,"IBARGUEN, A.",00:20:45,15,3,3,100,6,7,85,0,0,0,5,3,8,0,0,0,0,1,3,2
13/11/2024,44,"CUELLO, M.",00:19:57,3,0,0,0,0,2,0,1,3,33,0,3,3,1,0,0,0,2,1,1
13/11/2024,77,"CIFUENTES, F.",00:02:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
