Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
14/10/2024,0,"CARTER, M.",00:08:07,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0,1,2,5,2
14/10/2024,1,"FERRARO, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2024,2,"BENDER, V.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2024,5,"GRAMAJO, P.",00:27:28,15,6,6,100,0,2,0,3,8,37,1,2,3,1,0,0,0,0,4,5
14/10/2024,7,"AGUIRRE, G.",00:22:29,8,3,4,75,1,2,50,1,3,33,0,2,2,2,0,0,2,0,3,3
14/10/2024,10,"JAIME, A.",00:17:20,2,0,0,0,1,3,33,0,2,0,0,5,5,2,0,0,0,2,1,0
14/10/2024,11,"ELIAS, G.",00:29:17,20,2,2,100,0,0,0,6,8,75,0,4,4,2,0,0,1,3,2,1
14/10/2024,12,"GILETTO, S.",00:28:22,20,3,3,100,4,8,50,3,3,100,1,3,4,0,0,1,1,1,5,5
14/10/2024,15,"HOOPER, C.",00:23:33,2,0,3,0,1,4,25,0,0,0,3,2,5,1,0,0,0,1,4,2
14/10/2024,17,"REESE, J.",00:18:11,9,2,2,100,2,5,40,1,2,50,0,4,4,3,0,0,1,0,4,2
14/10/2024,21,"LARRAZA, J.",00:02:58,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
14/10/2024,55,"FRANCHELA, T.",00:22:17,10,1,2,50,3,6,50,1,1,100,0,1,1,2,0,0,0,1,2,2
