Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
29/10/2024,0,"MILLER, T.",00:15:30,8,4,4,100,2,3,66,0,1,0,0,3,3,3,0,1,2,1,1,2
29/10/2024,4,"AMPRIMO, R.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/10/2024,5,"BRUSSINO, J.",00:23:06,10,0,0,0,2,4,50,2,5,40,0,4,4,7,0,0,0,0,2,1
29/10/2024,6,"TABAREZ, P.",00:23:45,8,1,1,100,2,3,66,1,7,14,0,1,1,1,0,0,0,0,0,1
29/10/2024,10,"ROLFI, F.",00:15:35,7,0,0,0,2,4,50,1,3,33,3,2,5,9,0,0,0,3,2,0
29/10/2024,17,"BASABE, E.",00:16:15,9,0,0,0,3,4,75,1,2,50,1,1,2,1,0,0,0,1,4,1
29/10/2024,18,"PEREZ, A.",00:25:22,16,3,3,100,2,3,66,3,4,75,1,4,5,2,0,0,0,1,2,2
29/10/2024,20,"PIKALUK, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/10/2024,32,"VASIRANI, E.",00:24:30,14,0,0,0,7,7,100,0,0,0,3,1,4,0,0,0,2,1,1,1
29/10/2024,33,"ROMANO, N.",00:25:41,16,6,6,100,2,7,28,2,4,50,2,6,8,5,1,0,4,1,2,3
29/10/2024,34,"LOUIS, A.",00:14:19,3,0,0,0,0,5,0,1,3,33,1,6,7,0,0,1,1,2,2,1
29/10/2024,80,"ZEZULAR, F.",00:15:57,9,1,1,100,4,6,66,0,1,0,4,0,4,1,1,0,0,0,3,1
