Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
21/10/2024,2,"COOPER, T.",00:10:05,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,2,2,0
21/10/2024,4,"STENTA, N.",00:04:49,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0
21/10/2024,5,"GUERRERO, J.",00:08:15,3,0,0,0,0,0,0,1,1,100,0,1,1,1,0,0,0,0,0,0
21/10/2024,8,"ANDERSON, A.",00:16:07,8,3,3,100,1,2,50,1,4,25,1,2,3,2,0,0,0,1,3,2
21/10/2024,9,"TORRIANI, M.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/10/2024,10,"PIÑERO, F.",00:23:53,12,0,0,0,0,1,0,4,7,57,1,3,4,0,0,1,1,3,2,2
21/10/2024,11,"VILDOZA, J.",00:36:07,15,0,0,0,3,4,75,3,10,30,0,5,5,8,0,0,0,1,4,4
21/10/2024,12,"DELIA, M.",00:15:41,2,0,0,0,1,3,33,0,0,0,1,3,4,0,0,0,0,2,2,2
21/10/2024,17,"VEGA, S.",00:27:15,16,2,2,100,4,4,100,2,5,40,3,2,5,3,0,0,0,1,5,1
21/10/2024,19,"IBARGUEN, A.",00:24:19,9,5,6,83,2,3,66,0,0,0,3,3,6,1,1,0,0,0,3,5
21/10/2024,44,"CUELLO, M.",00:33:28,15,0,1,0,6,10,60,1,5,20,1,4,5,1,0,0,3,0,2,4
21/10/2024,77,"CIFUENTES, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
