Date,N° player,Player,Minutes,Total points,Free throws scored,Free throws I.P.P.,Frees %,2P throws scored,2P throws I.P.P.,2P %,3P throws scored,3P throws I.P.P.,3P %,Ofensive Rebound,Defensive Rebound,Total Rebound,Asistences,Block Committed,Block Received,Recover,Turnover,Foul Committed,Foul Received
6/11/2024,1,"CECI, M.",00:01:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2024,5,"DIGGS, A.",00:18:07,9,3,4,75,3,6,50,0,0,0,0,1,1,1,0,0,0,1,3,2
6/11/2024,6,"APREA, J.",00:21:53,10,0,1,0,5,6,83,0,0,0,0,8,8,0,0,0,2,2,2,1
6/11/2024,7,"CAPPONI, F.",00:16:47,2,0,0,0,1,3,33,0,6,0,0,1,1,0,0,0,1,1,0,1
6/11/2024,9,"MERCHANT, E.",00:28:13,9,1,2,50,4,6,66,0,1,0,2,6,8,1,0,0,3,3,4,5
6/11/2024,11,"GOMEZ, C.",00:27:05,0,0,0,0,0,3,0,0,2,0,2,6,8,3,0,1,1,2,2,2
6/11/2024,13,"MAGGI, A.",00:14:03,6,0,0,0,3,6,50,0,2,0,4,3,7,1,0,0,0,0,2,0
6/11/2024,15,"SAFAR, S.",00:27:08,9,3,3,100,0,6,0,2,6,33,2,3,5,2,0,1,0,2,2,2
6/11/2024,20,"ZAWADSKI, F.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2024,21,"SCIAMANNA, G.",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2024,22,"FRAGA, L.",00:22:55,12,0,0,0,0,1,0,4,7,57,0,0,0,3,0,0,0,2,1,3
6/11/2024,33,"PIÑERO, P.",00:21:54,8,0,1,0,1,2,50,2,8,25,0,2,2,0,0,0,0,0,3,2
